id,imagem,legenda,ordem,ativo
car-01,Imagens/dia-do-estudante-01.jpg,Gincana de Sustentabilidade 2026,1,1
car-02,Imagens/dia-do-estudante-me.webp,Sexta-feira é dia de pesagem!,2,1
